,low,volume,close,open,high,time,stock,date
0,7.539999961853027,1275300,7.690000057220459,7.650000095367432,7.739999771118164,1654695000,BB,2022-06-08 09:30:00
1,7.349999904632568,1223400,7.349999904632568,7.679999828338623,7.690000057220459,1654781400,BB,2022-06-09 09:30:00
2,7.019999980926514,1518100,7.079999923706055,7.190000057220459,7.320000171661377,1654867800,BB,2022-06-10 09:30:00
3,6.599999904632568,1456700,6.610000133514404,6.789999961853027,6.889999866485596,1655127000,BB,2022-06-13 09:30:00
4,6.539999961853027,1654300,6.679999828338623,6.670000076293945,6.809999942779541,1655213400,BB,2022-06-14 09:30:00
5,6.739999771118164,1807100,7.0,6.789999961853027,7.090000152587891,1655299800,BB,2022-06-15 09:30:00
6,6.46999979019165,1528300,6.559999942779541,6.769999980926514,6.800000190734863,1655386200,BB,2022-06-16 09:30:00
7,6.550000190734863,5704500,6.78000020980835,6.590000152587891,6.900000095367432,1655472600,BB,2022-06-17 09:30:00
8,6.769999980926514,319800,6.860000133514404,6.769999980926514,6.909999847412109,1655731800,BB,2022-06-20 09:30:00
9,6.789999961853027,1296200,6.789999961853027,6.980000019073486,7.03000020980835,1655818200,BB,2022-06-21 09:30:00
10,6.650000095367432,1479500,6.889999866485596,6.699999809265137,7.03000020980835,1655904600,BB,2022-06-22 09:30:00
11,6.71999979019165,1413000,6.989999771118164,6.909999847412109,7.0,1655991000,BB,2022-06-23 09:30:00
12,6.809999942779541,2374700,7.400000095367432,6.809999942779541,7.449999809265137,1656077400,BB,2022-06-24 09:30:00
13,7.28000020980835,1353300,7.46999979019165,7.440000057220459,7.550000190734863,1656336600,BB,2022-06-27 09:30:00
14,7.400000095367432,1428200,7.420000076293945,7.53000020980835,7.710000038146973,1656423000,BB,2022-06-28 09:30:00
15,7.050000190734863,1414900,7.150000095367432,7.400000095367432,7.400000095367432,1656509400,BB,2022-06-29 09:30:00
16,6.789999961853027,1438100,6.940000057220459,7.010000228881836,7.039999961853027,1656595800,BB,2022-06-30 09:30:00
17,6.840000152587891,300500,6.980000019073486,6.949999809265137,6.989999771118164,1656941400,BB,2022-07-04 09:30:00
18,6.849999904632568,1486100,7.360000133514404,6.940000057220459,7.360000133514404,1657027800,BB,2022-07-05 09:30:00
19,7.369999885559082,1574200,7.610000133514404,7.380000114440918,7.679999828338623,1657114200,BB,2022-07-06 09:30:00
20,7.599999904632568,1348000,7.880000114440918,7.610000133514404,7.940000057220459,1657200600,BB,2022-07-07 09:30:00
